B5034	B1152	B5181	A3087	A2012	A1194	D3223	D2157	D2085	C6055	C1160	C6103	M5158	M2095	M2146	K3064	K3132	K6172	J4092	J4051	J3005	O2008	O4057	O3212	E2073	E4056	E4083	F1219	F4247	F6089	G3103	G4248	G1045	L1108	L3147	L2116	I3216	I6177	I3211	N4004	N2013	N2076	H6347	H6212	H4089
OTU231	0	0	0	1	0	0	0	0	2	0	3	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	5	0	0	0	0	0	11	2	0	0	0	0	0	0	0	13	1
OTU8	438	89	315	404	680	4393	475	1249	2378	273	411	2475	243	9148	1806	288	1530	2165	285	361	257	642	1086	470	10818	1493	1845	925	17262	319	7982	4973	2345	860	1309	2475	5681	12485	2479	930	1874	607	2876	3697	6359
OTU261	0	1	0	0	0	0	1	1037	0	0	0	4	1	0	0	1	85	7	1	1	0	1	2	1	21	1	4	1	0	1	9	3	6	14	1	11	7	84	4	1	12	0	3	4	2
OTU110	58	34	12	23	22	385	2	5	8	10	29	3	1	11	4	6	17	5	7	5	1	0	4	2	392	25	90	3	5	11	10	35	15	0	42	3	9	2	9	7	2	0	74	2	57
OTU246	23	39	9	17	13	0	3	1	0	0	3	3	0	0	1	2	2	0	1	2	1	0	0	0	5	0	6	1	1	0	1	4	2	0	0	0	2	1	0	0	0	0	8	5	12
OTU173	0	0	0	5	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	5	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	0	0	0
OTU249	1	1	3	5	6	3	0	0	0	0	3	0	0	1	0	3	2	0	0	0	0	1	0	0	1	0	0	0	2	0	0	1	0	0	0	0	4	1	1	2	19	0	20	1	24
OTU230	0	0	0	0	6	1	4	3	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU247	2	1	2	0	0	2	0	4	2	2	20	5	5	3	3	1	3	4	7	3	1	1	3	5	0	13	5	1	4	5	0	4	3	1	1	0	3	5	3	14	2	6	5	10	8
OTU284	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	26	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	288	0	0	0	0	0	0	0	0	0
OTU108	35	173	12	13	72	136	39	4	25	15	117	17	48	73	7	6	25	7	15	20	24	1	3	13	150	36	40	8	29	20	17	24	15	11	43	8	27	64	42	36	81	24	53	31	7
